comment_id,index,sentiment_confidence,sentiment_margin,sentiment_entropy,respect_confidence,respect_margin,respect_entropy,insult_confidence,insult_margin,insult_entropy,humiliate_confidence,humiliate_margin,humiliate_entropy,status_confidence,status_margin,status_entropy,dehumanize_confidence,dehumanize_margin,dehumanize_entropy,violence_confidence,violence_margin,violence_entropy,genocide_confidence,genocide_margin,genocide_entropy,attack_defend_confidence,attack_defend_margin,attack_defend_entropy,hatespeech_confidence,hatespeech_margin,hatespeech_entropy
13127,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9679,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46222,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48930,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38432,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48024,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17156,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27161,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28716,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38942,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26616,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28104,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37452,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38738,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7795,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48965,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7847,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4382,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18677,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37271,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49633,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
